time,event_name,event_type
2015-01-01,Chinese Holiday New Year's Day,Chinese Holiday
2015-01-01,US Holiday New Year's Day,US Holiday
2015-01-02,Chinese Holiday Rest Day,Chinese Holiday
2015-01-09,NFP Release,NFP Release
2015-01-16,CPI Release,CPI Release
2015-01-19,US Holiday Martin Luther King Jr. Day,US Holiday
2015-01-28,US Market Summit FOMC Statement,US Market Summit FOMC
2015-02-02,PCE Release for December 2014,PCE Release
2015-02-06,NFP Release,NFP Release
2015-02-09,SPY Component Report L,SPY Component Report
2015-02-16,US Holiday Washington's Birthday,US Holiday
2015-02-18,Chinese Holiday Rest Day,Chinese Holiday
2015-02-19,Chinese Holiday Spring Festival,Chinese Holiday
2015-02-20,Chinese Holiday Spring Festival,Chinese Holiday
2015-02-20,CPI Release,CPI Release
2015-02-21,Chinese Holiday Spring Festival,Chinese Holiday
2015-02-23,Chinese Holiday Spring Festival,Chinese Holiday
2015-02-24,Chinese Holiday Rest Day,Chinese Holiday
2015-02-26,CPI Release,CPI Release
2015-03-02,PCE Release for January 2015,PCE Release
2015-03-06,NFP Release,NFP Release
2015-03-18,US Market Summit FOMC w/ SEP,US Market Summit FOMC
2015-03-20,US Market Summit SPY OpEx Quarterly,Other Event
2015-03-24,CPI Release,CPI Release
2015-03-30,PCE Release for February 2015,PCE Release
2015-04-03,NFP Release,NFP Release
2015-04-05,Chinese Holiday Qingming Festival,Chinese Holiday
2015-04-06,Chinese Holiday Qingming Festival,Chinese Holiday
2015-04-17,CPI Release,CPI Release
2015-04-29,US Market Summit FOMC Statement,US Market Summit FOMC
2015-04-30,PCE Release for March 2015,PCE Release
2015-05-01,Chinese Holiday Labor Day,Chinese Holiday
2015-05-04,SPY Component Report L,SPY Component Report
2015-05-08,NFP Release,NFP Release
2015-05-22,CPI Release,CPI Release
2015-05-25,US Holiday Memorial Day,US Holiday
2015-06-01,PCE Release for April 2015,PCE Release
2015-06-05,NFP Release,NFP Release
2015-06-07,US Market Summit G7 Summit,US Market Summit G7
2015-06-17,US Market Summit FOMC w/ SEP,US Market Summit FOMC
2015-06-18,CPI Release,CPI Release
2015-06-19,US Market Summit SPY OpEx Quarterly,Other Event
2015-06-20,Chinese Holiday Dragon Boat Festival,Chinese Holiday
2015-06-22,Chinese Holiday Dragon Boat Festival,Chinese Holiday
2015-06-25,PCE Release for May 2015,PCE Release
2015-07-02,NFP Release,NFP Release
2015-07-03,US Holiday Independence Day (observed),US Holiday
2015-07-04,US Holiday Independence Day,US Holiday
2015-07-17,CPI Release,CPI Release
2015-07-29,US Market Summit FOMC Statement,US Market Summit FOMC
2015-08-03,SPY Component Report L,SPY Component Report
2015-08-07,NFP Release,NFP Release
2015-08-19,CPI Release,CPI Release
2015-08-28,PCE Release for July 2015,PCE Release
2015-09-03,Chinese Holiday Victory Day of the Chinese People's War of Resistance Against Japanese Aggression and World Anti-Fascist War,Chinese Holiday
2015-09-04,Chinese Holiday Rest Day,Chinese Holiday
2015-09-04,NFP Release,NFP Release
2015-09-07,US Holiday Labor Day,US Holiday
2015-09-16,CPI Release,CPI Release
